# Shear wave velocity distribution from Schaeffer and Lebedev (2013)
# Columns
# 0 - X / m
# 1 - Y / m
# 2 - Z / m
# 3 - Vs / m/s
100000 7100000 -50000 3782.98657226562
200000 7100000 -50000 3876.41870117188
300000 7100000 -50000 4001.62084960938
400000 7100000 -50000 4132.9248046875
500000 7100000 -50000 4180.39306640625
600000 7100000 -50000 4218.19091796875
700000 7100000 -50000 4268.57470703125
800000 7100000 -50000 4289.373046875
900000 7100000 -50000 4322.931640625
1000000 7100000 -50000 4374.69287109375
1100000 7100000 -50000 4428.47021484375
1200000 7100000 -50000 4482.8720703125
0 7200000 -50000 3815.14453125
100000 7200000 -50000 3797.6083984375
200000 7200000 -50000 3884.84716796875
300000 7200000 -50000 4012.3154296875
400000 7200000 -50000 4116.4990234375
500000 7200000 -50000 4174.03466796875
600000 7200000 -50000 4228.5390625
700000 7200000 -50000 4294.73193359375
800000 7200000 -50000 4322.54150390625
900000 7200000 -50000 4346.66552734375
1000000 7200000 -50000 4376.77197265625
1100000 7200000 -50000 4404.5615234375
1200000 7200000 -50000 4413.42822265625
0 7300000 -50000 3804.27978515625
100000 7300000 -50000 3814.45654296875
200000 7300000 -50000 3916.91479492188
300000 7300000 -50000 4050.63232421875
400000 7300000 -50000 4100.6572265625
500000 7300000 -50000 4166.92822265625
600000 7300000 -50000 4264.11669921875
700000 7300000 -50000 4354.0908203125
800000 7300000 -50000 4430.39501953125
900000 7300000 -50000 4453.69775390625
1000000 7300000 -50000 4460.158203125
1100000 7300000 -50000 4440.7138671875
1200000 7300000 -50000 4410.404296875
0 7400000 -50000 3750.55737304688
100000 7400000 -50000 3737.16821289062
200000 7400000 -50000 3841.78100585938
300000 7400000 -50000 3986.12744140625
400000 7400000 -50000 4058.2548828125
500000 7400000 -50000 4134.46240234375
600000 7400000 -50000 4250.3935546875
700000 7400000 -50000 4347.92529296875
800000 7400000 -50000 4462.20263671875
900000 7400000 -50000 4508.55615234375
1000000 7400000 -50000 4533.9423828125
